client,true_value,geo_value
c180,5,4
c181,4,5
c182,7,4
c183,3,6
c184,7,4
c185,6,5
c186,5,7
c187,3,9
c188,4,6
c189,4,8
c190,6,4
c191,3,3
c192,7,6
c193,3,3
c194,4,5
c195,8,2
c196,2,6
c197,8,7
c198,7,7
c199,5,4
c200,4,5
c201,4,5
c202,6,6
c203,7,2
c204,7,7
c205,6,6
c206,6,5
c207,4,5
c208,3,3
c209,5,5
c210,6,3
c211,2,2
c212,4,6
c213,4,10
c214,3,7
c215,2,1
c216,3,7
c217,5,6
c218,7,3
c219,4,5
c220,4,4
c221,7,2
c222,2,4
c223,6,9
c224,6,6
c225,3,10
c226,5,4
c227,3,3
c228,7,3
c229,6,4
c230,4,4
c231,4,4
c232,4,4
c233,5,6
c234,3,1
c235,4,5
c236,6,1
c237,4,6
c238,3,7
c239,5,5
c240,5,1
c241,5,4
c242,4,4
c243,5,5
c244,4,3
c245,7,6
c246,6,5
c247,3,4
c248,6,6
c249,5,6
c250,8,2
c251,5,4
c252,5,4
c253,6,4
c254,6,5
c255,6,4
c256,8,9
c257,3,3
c258,2,4
c259,6,6
c260,4,4
c261,4,2
c262,5,4
c263,5,6
c264,5,4
c265,6,6
c266,5,5
c267,4,5
c268,1,9
c269,7,9
c270,4,4
c271,4,4
c272,5,4
c273,5,5
c274,3,9
c275,8,8
c276,7,7
c277,6,6
c278,7,1
c279,7,3
c280,6,5
c281,8,9
c282,6,6
c283,6,4
c284,8,1
c285,5,6
c286,7,9
c287,7,3
c288,9,1
c289,4,4
c290,5,6
c291,5,6
c292,6,5
c293,4,4
c294,7,2
c295,4,5
c296,7,7
c297,5,6
c298,5,10
c299,4,5
c300,6,4
c301,4,6
c302,4,5
c303,8,9
c304,4,4
c305,5,7
c306,6,5
c307,6,3
c308,4,4
c309,4,6
c310,2,1
c311,5,5
c312,4,3
c313,4,3
c314,7,7
c315,5,5
c316,5,2
c317,4,6
c318,6,6
c319,7,3
c320,5,6
c321,7,3
c322,6,6
c323,6,6
c324,4,3
c325,3,3
c326,3,6
c327,5,5
c328,7,7
c329,2,8
c330,5,6
c331,3,9
c332,7,2
c333,6,6
c334,6,6
c335,3,6
c336,4,6
c337,5,5
c338,5,6
c339,7,6
c340,3,3
c341,4,7
c342,3,2
c343,4,6
c344,6,4
c345,8,8
c346,6,2
c347,4,6
c348,7,2
c349,4,5
c350,5,5
c351,4,4
c352,5,6
c353,7,3
c354,6,4
c355,2,8
c356,6,6
c357,5,5
c358,5,2
c359,5,3
c360,7,3
c361,4,3
c362,6,4
c363,5,5
c364,1,2
c365,6,1
c366,7,3
c367,4,4
c368,7,8
c369,6,5
c370,2,2
c371,6,4
c372,2,10
c373,4,6
c374,5,5
c375,4,6
c376,5,4
c377,5,5
c378,3,3
c379,5,5
c380,5,4
c381,6,5
c382,6,6
c383,3,10
c384,4,6
c385,6,4
c386,7,4
c387,7,3
c388,8,1
c389,6,6
c390,4,5
c391,2,8
c392,1,1
c393,4,5
c394,7,7
c395,7,5
c396,6,4
c397,4,7
c398,6,6
c399,5,5
c400,5,5
c401,2,6
c402,7,4
c403,4,5
c404,6,4
c405,5,8
c406,7,3
c407,6,10
c408,3,10
c409,5,9
c410,5,5
c411,4,5
c412,4,4
c413,7,9
c414,5,5
c415,2,8
c416,7,1
c417,4,5
c418,5,5
c419,6,4
c420,6,5
c421,2,7
c422,5,5
c423,5,5
c424,2,10
c425,5,5
c426,8,8
c427,8,3
c428,4,6
c429,5,5
c430,5,8
c431,5,5
c432,5,3
c433,6,6
c434,5,1
c435,3,7
c436,4,5
c437,5,4
c438,3,7
c439,4,5
c440,6,4
c441,2,8
c442,7,7
c443,5,4
c444,5,7
c445,8,2
c446,3,8
c447,7,3
c448,3,7
c449,6,6
c450,5,6
c451,6,5
c452,7,3
c453,4,6
c454,3,10
c455,7,7
c456,1,10
c457,4,6
c458,7,7
c459,3,3
c460,6,6
c461,5,4
c462,3,4
c463,3,9
c464,7,3
c465,5,6
c466,7,6
c467,6,4
c468,4,6
c469,6,8
c470,5,5
c471,7,3
c472,1,9
c473,6,4
c474,4,5
c475,5,6
c476,6,8
c477,4,4
c478,5,5
c479,9,10
c480,6,6
c481,9,2
c482,4,4
c483,2,8
c484,7,5
c485,4,3
c486,7,3
c487,4,6
c488,7,1
c489,8,6
c490,4,6
c491,3,9
c492,5,7
c493,2,8
c494,5,2
c495,5,5
c496,4,4
c497,4,6
c498,4,9
c499,4,5
c500,5,4
c501,5,5
c502,6,4
c503,6,6
c504,6,6
c505,6,4
c506,4,4
c507,2,7
c508,5,4
c509,4,2
c510,8,8
c511,5,3
c512,5,3
c513,6,6
c514,7,7
c515,5,6
c516,6,5
c517,8,1
c518,5,5
c519,3,6
c520,5,6
c521,1,2
c522,4,5
c523,4,5
c524,6,6
c525,6,5
c526,6,6
c527,4,5
c528,5,6
c529,4,4
c530,6,5
c531,5,1
c532,6,6
c533,4,6
c534,4,4
c535,4,4
c536,4,7
c537,4,6
c538,6,5
c539,6,6
c540,4,1
c541,5,6
c542,4,4
c543,7,9
c544,6,6
c545,6,4
c546,3,4
c547,5,6
c548,4,4
c549,5,6
c550,5,5
c551,3,10
c552,7,4
c553,2,2
c554,7,9
c555,2,2
c556,4,4
c557,7,8
c558,5,5
c559,3,8
c560,5,5
c561,6,7
c562,4,6
c563,5,5
c564,7,7
c565,6,4
c566,3,8
c567,6,6
c568,5,6
c569,6,6
c570,3,4
c571,5,5
c572,4,3
c573,3,2
c574,7,5
c575,6,6
c576,8,7
c577,5,6
c578,7,1
c579,6,4
c580,4,5
c581,5,6
c582,4,5
c583,3,4
c584,6,2
c585,4,4
c586,1,9
c587,6,2
c588,4,5
c589,5,6
c590,7,5
c591,8,2
c592,5,4
c593,3,1
c594,5,4
c595,2,8
c596,3,7
c597,4,4
c598,6,4
c599,5,4
c600,4,5
c601,8,10
c602,7,7
c603,6,4
c604,6,4
c605,5,4
c606,3,10
c607,4,4
c608,7,7
c609,3,10
c610,3,7
c611,4,2
c612,5,5
c613,8,10
c614,2,7
c615,4,7
c616,4,3
c617,4,4
c618,5,4
c619,6,3
c620,4,7
c621,7,10
c622,4,4
c623,4,4
c624,4,6
c625,5,5
c626,6,4
c627,3,3
c628,4,6
c629,4,4
c630,3,3
c631,4,6
c632,4,5
c633,4,6
c634,4,5
c635,5,7
c636,5,4
c637,2,1
c638,5,6
c639,6,4
c640,6,4
c641,7,9
c642,5,4
c643,5,2
c644,4,5
c645,6,4
c646,7,2
c647,6,7
c648,9,10
c649,8,2
c650,5,5
c651,4,8
c652,2,5
c653,9,2
c654,5,5
c655,6,5
c656,4,6
c657,7,8
c658,5,8
c659,5,4
c660,5,3
c661,3,8
c662,4,5
c663,7,5
c664,5,10
c665,4,5
c666,4,6
c667,6,4
c668,6,6
c669,6,5
c670,3,7
c671,7,7
c672,4,5
c673,5,6
c674,4,6
c675,4,9
c676,4,4
c677,5,5
c678,7,7
c679,3,4
c680,7,8
c681,4,3
c682,8,10
c683,4,4
c684,5,4
c685,3,5
c686,4,6
c687,7,6
c688,5,5
c689,3,9
c690,6,1
c691,6,6
c692,2,9
c693,8,8
c694,7,6
c695,4,4
c696,3,10
c697,6,6
c698,5,5
c699,5,4
c700,7,3
c701,3,3
c702,5,5
c703,4,3
c704,4,1
c705,6,4
c706,7,3
c707,5,4
c708,7,7
c709,4,4
c710,4,4
c711,9,9
c712,4,4
c713,8,8
c714,3,2
c715,7,9
c716,6,4
c717,7,5
c718,4,8
c719,5,10
c720,3,7
c721,6,3
c722,8,8
c723,6,5
c724,2,1
c725,2,9
c726,4,6
c727,7,3
c728,4,6
c729,5,2
c730,5,6
c731,4,8
c732,5,5
c733,6,4
c734,5,2
c735,3,7
c736,3,7
c737,5,5
c738,5,5
c739,7,4
c740,4,6
c741,6,5
c742,5,7
c743,6,4
c744,6,1
c745,4,4
c746,2,2
c747,5,5
c748,3,9
c749,3,9
c750,5,1
c751,6,4
c752,6,5
c753,5,6
c754,7,8
c755,6,4
c756,4,5
c757,5,6
c758,8,9
c759,3,4
c760,7,3
c761,6,6
c762,5,5
c763,6,6
c764,5,5
c765,8,10
c766,8,8
c767,3,10
c768,6,4
c769,3,7
c770,4,4
c771,7,5
c772,5,6
c773,5,6
c774,7,3
c775,3,7
c776,5,5
c777,4,5
c778,5,6
c779,4,4
c780,5,5
c781,4,6
c782,5,4
c783,2,8
c784,3,2
c785,4,4
c786,5,5
c787,5,6
c788,6,6
c789,6,4
c790,9,10
c791,4,6
c792,6,4
c793,4,2
c794,7,2
c795,5,4
c796,3,7
c797,6,6
c798,6,4
c799,5,5
c800,8,10
c801,3,3
c802,5,4
c803,2,8
c804,7,2
c805,5,7
c806,3,4
c807,5,5
c808,5,10
c809,5,4
c810,6,6
c811,5,4
c812,5,5
c813,6,4
c814,3,6
c815,7,3
c816,5,10
c817,7,7
c818,5,3
c819,3,3
c820,5,5
c821,3,6
c822,5,5
c823,4,4
c824,5,10
c825,8,1
c826,4,5
c827,8,2
c828,3,7
c829,7,7
c830,6,4
c831,2,2
c832,7,6
c833,4,3
c834,3,7
c835,7,7
c836,6,5
c837,4,4
c838,4,2
c839,8,10
c840,3,7
c841,5,4
c842,5,5
c843,3,10
c844,7,4
c845,5,6
c846,4,4
c847,6,4
c848,6,2
c849,6,6
c850,6,6
c851,5,4
c852,2,2
c853,2,10
c854,4,4
c855,5,10
c856,3,3
c857,7,9
c858,5,4
c859,6,4
c860,7,5
c861,5,6
c862,5,5
c863,5,9
c864,5,4
c865,5,5
c866,4,6
c867,6,5
c868,4,7
c869,6,6
c870,5,5
c871,6,4
c872,6,6
c873,4,4
c874,5,5
c875,4,4
c876,6,7
c877,3,4
c878,7,4
c879,4,6
c880,5,5
c881,5,4
c882,1,10
c883,6,2
c884,6,10
c885,5,6
c886,5,5
c887,2,9
c888,4,1
c889,4,4
c890,6,5
c891,4,4
c892,6,10
c893,6,7
c894,7,8
c895,4,4
c896,7,9
c897,5,4
c898,4,9
c899,6,7
c900,3,5
c901,4,6
c902,7,4
c903,5,6
c904,5,5
c905,5,5
c906,7,5
c907,6,5
c908,8,9
c909,5,5
c910,5,4
c911,9,2
c912,8,7
c913,5,4
c914,3,6
c915,5,10
c916,3,2
c917,7,7
c918,2,8
c919,4,4
c920,5,5
c921,2,9
c922,5,5
c923,3,4
c924,7,4
c925,8,8
c926,7,10
c927,2,1
c928,6,9
c929,5,4
c930,9,2
c931,6,4
c932,5,6
c933,4,5
c934,5,2
c935,4,6
c936,6,5
c937,5,4
c938,7,10
c939,7,10
c940,6,10
c941,6,4
c942,4,7
c943,4,3
c944,4,1
c945,6,4
c946,6,7
c947,5,6
c948,8,2
c949,6,5
c950,5,4
c951,5,9
c952,5,4
c953,3,7
c954,6,9
c955,2,3
c956,5,4
c957,6,6
c958,6,4
c959,7,5
c960,6,6
c961,5,6
c962,6,2
c963,6,5
c964,6,4
c965,5,6
c966,3,2
c967,3,3
c968,3,3
c969,5,5
c970,7,3
c971,6,5
c972,7,8
c973,4,4
c974,3,4
c975,7,4
c976,4,2
c977,6,4
c978,3,4
c979,5,6
c980,3,7
c981,7,3
c982,4,4
c983,5,6
c984,4,4
c985,4,6
c986,5,5
c987,5,9
c988,6,4
c989,3,8
c990,5,6
c991,5,4
c992,6,6
c993,6,6
c994,6,2
c995,4,6
c996,5,5
c997,8,8
c998,4,5
c999,5,6
c1000,4,4
c1001,5,5
c1002,5,4
c1003,3,8
c1004,4,6
c1005,2,3
c1006,5,4
c1007,5,6
c1008,6,6
c1009,5,7
c1010,4,5
c1011,7,3
c1012,1,1
c1013,4,4
c1014,5,6
c1015,4,6
c1016,6,6
c1017,7,5
c1018,4,6
c1019,5,6
c1020,4,4
c1021,2,8
c1022,3,2
c1023,5,5
c1024,3,3
c1025,5,4
c1026,5,6
c1027,4,6
c1028,7,3
c1029,3,7
c1030,8,1
c1031,5,4
c1032,7,7
c1033,6,6
c1034,5,5
c1035,4,4
c1036,8,8
c1037,2,2
c1038,8,8
c1039,8,1
c1040,5,5
c1041,3,1
c1042,3,7
c1043,6,4
c1044,3,8
c1045,5,7
c1046,4,5
c1047,5,5
c1048,5,1
c1049,6,4
c1050,6,6
c1051,5,4
c1052,5,8
c1053,4,4
c1054,7,7
c1055,1,1
c1056,5,4
c1057,5,6
c1058,7,3
c1059,5,4
c1060,3,8
c1061,7,3
c1062,6,6
c1063,6,6
c1064,3,3
c1065,5,5
c1066,5,5
c1067,5,6
c1068,6,5
c1069,6,6
c1070,5,6
c1071,6,5
c1072,6,5
c1073,6,4
c1074,7,10
c1075,2,9
c1076,6,6
c1077,4,9
c1078,5,6
c1079,5,6
c1080,8,9
c1081,5,5
c1082,5,6
c1083,9,2
c1084,4,4
c1085,6,5
c1086,7,1
c1087,6,4
c1088,8,8
c1089,4,4
c1090,5,6
c1091,6,4
c1092,3,4
c1093,6,6
c1094,4,5
c1095,6,4
c1096,4,5
c1097,5,4
c1098,5,1
c1099,7,7
c1100,6,4
c1101,3,6
c1102,5,4
c1103,6,5
c1104,4,6
c1105,3,6
c1106,6,6
c1107,3,7
c1108,5,5
c1109,6,6
c1110,5,1
c1111,2,6
c1112,5,4
c1113,3,3
c1114,6,6
c1115,7,3
c1116,4,4
c1117,4,4
c1118,6,4
c1119,4,6
c1120,6,4
c1121,6,8
c1122,5,4
c1123,4,4
c1124,6,4
c1125,6,7
c1126,3,7
c1127,5,8
c1128,7,2
c1129,5,5
c1130,7,3
c1131,4,6
c1132,3,5
c1133,3,4
c1134,6,5
c1135,2,9
c1136,3,10
c1137,4,3
c1138,4,4
c1139,4,6
c1140,3,3
c1141,7,10
c1142,8,9
c1143,6,4
c1144,6,1
c1145,5,5
c1146,6,6
c1147,5,6
c1148,4,6
c1149,5,8
c1150,5,5
c1151,4,7
c1152,2,1
c1153,5,7
c1154,3,7
c1155,7,7
c1156,5,5
c1157,5,6
c1158,8,9
c1159,5,5
c1160,6,6
c1161,3,3
c1162,5,5
c1163,5,4
c1164,3,3
c1165,3,7
c1166,4,4
c1167,4,5
c1168,5,6
c1169,3,8
c1170,4,6
c1171,4,7
c1172,5,5
c1173,3,7
c1174,5,8
c1175,6,6
c1176,6,6
c1177,6,2
c1178,4,5
c1179,6,4
c1180,3,4
c1181,9,10
c1182,6,6
c1183,5,4
c1184,3,7
c1185,5,6
c1186,5,4
c1187,4,5
c1188,3,7
c1189,4,6
c1190,4,6
c1191,3,8
c1192,6,4
c1193,6,6
c1194,6,4
c1195,7,3
c1196,5,5
c1197,8,1
c1198,4,6
c1199,7,3
c1200,4,1
c1201,5,5
c1202,3,9
c1203,7,5
c1204,3,1
c1205,4,4
c1206,3,3
c1207,6,5
c1208,5,5
c1209,4,4
c1210,5,4
c1211,2,10
c1212,4,2
c1213,6,4
c1214,6,4
c1215,5,5
c1216,5,4
c1217,3,8
c1218,4,3
c1219,6,4
c1220,4,2
c1221,3,2
c1222,4,5
c1223,5,5
c1224,8,10
c1225,5,5
c1226,5,1
c1227,5,4
c1228,6,6
c1229,2,9
c1230,4,6
c1231,5,5
c1232,3,7
c1233,2,1
c1234,7,4
c1235,6,4
c1236,2,10
c1237,5,5
c1238,5,4
c1239,4,4
c1240,5,5
c1241,7,3
c1242,5,5
c1243,6,6
c1244,7,6
c1245,6,4
c1246,2,3
c1247,4,6
c1248,7,8
c1249,6,4
c1250,4,4
c1251,7,1
c1252,6,4
c1253,2,10
c1254,7,5
c1255,4,2
c1256,3,2
c1257,2,6
c1258,3,7
c1259,2,3
c1260,3,8
c1261,6,1
c1262,5,4
c1263,5,6
c1264,4,5
c1265,7,7
c1266,6,4
c1267,8,7
c1268,4,4
c1269,6,1
c1270,3,8
c1271,5,6
c1272,5,4
c1273,6,4
c1274,5,6
c1275,5,5
c1276,3,9
c1277,5,10
c1278,7,8
c1279,5,4
c1280,6,4
c1281,5,5
c1282,3,2
c1283,2,8
c1284,7,6
c1285,3,5
c1286,6,3
c1287,7,8
c1288,5,5
c1289,5,5
c1290,6,2
c1291,5,6
c1292,4,4
c1293,7,7
c1294,5,4
c1295,3,5
c1296,4,3
c1297,2,10
c1298,4,10
c1299,4,4
c1300,7,3
c1301,6,5
c1302,2,1
c1303,4,2
c1304,4,5
c1305,5,6
c1306,4,4
c1307,5,4
c1308,4,6
c1309,4,5
c1310,4,6
c1311,7,7
c1312,5,5
c1313,5,8
c1314,4,6
c1315,5,5
c1316,5,5
c1317,6,5
c1318,3,3
c1319,9,9
c1320,7,10
c1321,5,5
c1322,4,2
c1323,3,3
c1324,3,7
c1325,4,1
c1326,4,5
c1327,4,4
c1328,5,4
c1329,3,1
c1330,3,7
c1331,4,5
c1332,5,5
c1333,4,4
c1334,4,4
c1335,6,6
c1336,9,2
c1337,5,4
c1338,4,6
c1339,5,4
c1340,4,4
c1341,7,7
c1342,4,4
c1343,5,6
c1344,4,6
c1345,3,7
c1346,4,5
c1347,6,5
c1348,6,6
c1349,5,4
c1350,7,3
c1351,3,3
c1352,6,6
c1353,5,4
c1354,6,5
c1355,5,5
c1356,1,8
c1357,4,6
c1358,6,9
c1359,6,6
c1360,7,3
c1361,5,6
c1362,5,6
c1363,8,7
c1364,7,8
c1365,4,4
c1366,4,6
c1367,3,4
c1368,4,5
c1369,6,6
c1370,7,7
c1371,6,7
c1372,7,7
c1373,6,4
c1374,2,1
c1375,7,3
c1376,4,4
c1377,7,8
c1378,7,4
c1379,6,6
c1380,8,1
c1381,3,8
c1382,3,10
c1383,3,8
c1384,6,5
c1385,4,9
c1386,4,5
c1387,5,5
c1388,7,3
c1389,7,3
c1390,7,5
c1391,7,7
c1392,5,6
c1393,6,6
c1394,3,5
c1395,5,4
c1396,3,7
c1397,8,1
c1398,6,5
c1399,7,7
c1400,4,4
c1401,6,6
c1402,6,8
c1403,5,5
c1404,8,5
c1405,3,10
c1406,5,5
c1407,5,5
c1408,3,7
c1409,2,2
c1410,7,8
c1411,4,4
c1412,3,1
c1413,6,6
c1414,6,2
c1415,5,6
c1416,5,4
c1417,7,10
c1418,5,10
c1419,3,5
c1420,6,5
c1421,5,4
c1422,4,6
c1423,4,4
c1424,5,4
c1425,6,4
c1426,6,4
c1427,6,10
c1428,2,9
c1429,4,6
c1430,5,6
c1431,7,2
c1432,6,6
c1433,5,4
c1434,4,8
c1435,5,1
c1436,5,6
c1437,6,6
c1438,9,2
c1439,5,9
c1440,5,5
c1441,5,9
c1442,3,8
c1443,5,5
c1444,6,10
c1445,2,8
c1446,2,10
c1447,5,5
c1448,6,6
c1449,5,5
c1450,4,6
c1451,5,5
c1452,6,4
c1453,5,5
c1454,6,4
c1455,5,5
c1456,6,8
c1457,5,6
c1458,7,3
c1459,5,5
c1460,5,6
c1461,3,8
c1462,7,5
c1463,7,3
c1464,8,8
c1465,3,3
c1466,5,5
c1467,5,4
c1468,6,5
c1469,6,6
c1470,8,9
c1471,2,9
c1472,6,4
c1473,7,3
c1474,4,4
c1475,4,6
c1476,5,5
c1477,5,5
c1478,7,8
c1479,5,6
c1480,2,8
c1481,8,10
c1482,8,9
c1483,4,6
c1484,4,5
c1485,5,1
c1486,9,8
c1487,5,5
c1488,5,4
c1489,4,4
c1490,3,6
c1491,5,4
c1492,6,5
c1493,6,4
c1494,7,10
c1495,6,4
c1496,6,9
c1497,5,5
c1498,3,8
c1499,4,6
c1500,4,5
c1501,3,10
c1502,4,5
c1503,5,4
c1504,4,1
c1505,7,7
c1506,4,6
c1507,3,4
c1508,2,1
c1509,4,6
c1510,4,4
c1511,6,4
c1512,5,6
c1513,5,9
c1514,5,5
c1515,7,9
c1516,6,4
c1517,6,6
c1518,5,9
c1519,6,4
c1520,4,4
c1521,4,5
c1522,6,6
c1523,5,4
c1524,7,3
c1525,5,4
c1526,8,8
c1527,5,4
c1528,4,4
c1529,1,7
c1530,5,2
c1531,4,4
c1532,4,5
c1533,4,4
c1534,6,4
c1535,7,7
c1536,4,4
c1537,3,1
c1538,4,5
c1539,4,4
c1540,5,4
c1541,4,4
c1542,7,2
c1543,7,8
c1544,3,3
c1545,7,3
c1546,5,5
c1547,6,3
c1548,4,7
c1549,5,5
c1550,5,4
c1551,5,4
c1552,8,10
c1553,6,9
c1554,3,10
c1555,1,1
c1556,4,4
c1557,5,6
c1558,1,8
c1559,6,6
c1560,3,5
c1561,6,4
c1562,5,6
c1563,9,2
c1564,6,6
c1565,4,6
c1566,5,6
c1567,6,4
c1568,5,4
c1569,3,7
c1570,7,7
c1571,3,4
c1572,4,4
c1573,3,9
c1574,2,8
c1575,6,4
c1576,6,6
c1577,4,5
c1578,5,4
c1579,8,10
c1580,7,1
c1581,7,7
c1582,4,4
c1583,5,5
c1584,5,5
c1585,7,5
c1586,2,2
c1587,6,4
c1588,8,2
c1589,3,3
c1590,4,4
c1591,3,3
c1592,6,6
c1593,5,6
c1594,5,4
c1595,5,5
c1596,3,2
c1597,8,4
c1598,4,2
c1599,5,5
c1600,5,5
c1601,6,4
c1602,4,4
c1603,8,7
c1604,3,8
c1605,8,3
c1606,4,6
c1607,7,10
c1608,4,6
c1609,6,4
c1610,6,6
c1611,3,6
c1612,3,7
c1613,6,5
c1614,4,6
c1615,4,4
c1616,7,7
c1617,6,5
c1618,4,6
c1619,7,3
c1620,6,6
c1621,2,9
c1622,6,8
c1623,5,6
c1624,6,6
c1625,6,8
c1626,6,4
c1627,6,6
c1628,6,6
c1629,6,5
c1630,1,10
c1631,6,4
c1632,5,6
c1633,4,8
c1634,6,4
c1635,4,5
c1636,6,5
c1637,7,3
c1638,4,6
c1639,5,5
c1640,6,6
c1641,6,5
c1642,2,2
c1643,2,2
c1644,6,9
c1645,6,10
c1646,4,5
c1647,5,5
c1648,7,2
c1649,4,4
c1650,5,5
c1651,6,6
c1652,5,5
c1653,5,5
c1654,3,3
c1655,7,3
c1656,5,6
c1657,6,3
c1658,7,3
c1659,4,6
c1660,4,5
c1661,5,6
c1662,5,6
c1663,6,6
c1664,4,4
c1665,5,6
c1666,6,5
c1667,2,2
c1668,4,4
c1669,4,5
c1670,6,4
c1671,4,2
c1672,5,5
c1673,8,2
c1674,7,7
c1675,3,8
c1676,9,1
c1677,6,6
c1678,4,5
c1679,7,7
c1680,2,1
c1681,4,4
c1682,5,3
c1683,7,3
c1684,6,3
c1685,5,6
c1686,5,3
c1687,7,10
c1688,2,10
c1689,2,10
c1690,5,5
c1691,7,7
c1692,4,4
c1693,5,5
c1694,6,6
c1695,7,3
c1696,4,6
c1697,1,8
c1698,7,3
c1699,6,6
c1700,4,8
c1701,10,9
c1702,6,5
c1703,5,5
c1704,5,10
c1705,5,6
c1706,7,7
c1707,5,6
c1708,6,4
c1709,6,4
c1710,6,8
c1711,5,5
c1712,6,4
c1713,7,7
c1714,5,6
c1715,7,2
c1716,6,4
c1717,5,3
c1718,7,9
c1719,6,6
c1720,3,3
c1721,5,6
c1722,4,7
c1723,4,4
c1724,5,4
c1725,4,4
c1726,7,7
c1727,5,5
c1728,5,9
c1729,7,3
c1730,5,5
c1731,3,2
c1732,7,5
c1733,3,8
c1734,7,3
c1735,4,5
c1736,3,10
c1737,4,5
c1738,4,4
c1739,5,5
c1740,4,6
c1741,3,6
c1742,6,6
c1743,3,4
c1744,2,1
c1745,1,2
c1746,2,8
c1747,4,6
c1748,1,7
c1749,4,6
c1750,5,5
c1751,5,3
c1752,8,2
c1753,5,5
c1754,5,6
c1755,8,9
c1756,6,4
c1757,5,5
c1758,6,4
c1759,5,5
c1760,5,1
c1761,4,10
c1762,4,5
c1763,6,6
c1764,2,10
c1765,7,3
c1766,4,4
c1767,5,6
c1768,5,5
c1769,7,3
c1770,6,1
c1771,5,5
c1772,4,4
c1773,4,4
c1774,3,9
c1775,6,4
c1776,3,1
c1777,4,4
c1778,2,8
c1779,5,4
c1780,4,9
c1781,4,5
c1782,5,5
c1783,8,9
c1784,8,9
c1785,8,8
c1786,3,6
c1787,5,5
c1788,8,10
c1789,3,3
c1790,4,4
c1791,4,6
c1792,6,4
c1793,5,4
c1794,4,5
c1795,6,5
c1796,6,6
c1797,6,4
c1798,4,6
c1799,5,6
c1800,5,5
c1801,8,2
c1802,6,7
c1803,5,1
c1804,4,4
c1805,4,6
c1806,4,1
c1807,5,6
c1808,4,4
c1809,3,3
c1810,7,8
c1811,3,4
c1812,5,5
c1813,5,5
c1814,6,4
c1815,9,9
c1816,7,8
c1817,6,9
c1818,5,3
c1819,7,2
c1820,5,5
c1821,2,2
c1822,7,9
c1823,2,7
c1824,6,4
c1825,4,6
c1826,6,5
c1827,3,2
c1828,6,4
c1829,2,1
c1830,7,3
c1831,6,4
c1832,6,6
c1833,5,4
c1834,5,6
c1835,3,7
c1836,5,5
c1837,7,5
c1838,8,8
c1839,6,5
c1840,5,1
c1841,5,5
c1842,5,6
c1843,7,2
c1844,8,8
c1845,8,8
c1846,7,7
c1847,4,4
c1848,6,2
c1849,7,7
c1850,8,2
c1851,3,5
c1852,3,7
c1853,4,6
c1854,4,6
c1855,2,1
c1856,5,5
c1857,4,4
c1858,6,6
c1859,5,8
c1860,6,6
c1861,7,8
c1862,5,5
c1863,5,4
c1864,7,3
c1865,4,6
c1866,7,9
c1867,3,7
c1868,4,4
c1869,2,2
c1870,6,4
c1871,7,7
c1872,7,3
