client,true_value,mrr_value
c629,31,68
c630,60,73
c631,2,74
c632,28,55
c633,82,77
c634,55,55
c635,12,12
c636,7,42
c637,19,7
c638,15,1
c639,26,40
c640,7,27
c641,27,46
c642,6,41
c643,19,53
c644,5,2
c645,8,8
c646,16,77
c647,16,16
c648,29,70
c649,1,35
c650,17,17
c651,16,70
c652,5,90
c653,24,78
c654,29,99
c655,15,51
c656,3,86
c657,38,59
c658,9,55
c659,11,63
c660,39,52
c661,52,3
c662,5,76
c663,27,27
c664,46,82
c665,21,21
c666,26,52
c667,2,14
c668,39,77
c669,6,97
c670,3,70
c671,34,12
c672,37,26
c673,18,33
c674,2,9
c675,52,74
c676,1,1
c677,20,33
c678,1,90
c679,39,39
c680,13,25
c681,5,80
c682,7,97
c683,49,72
c684,27,27
c685,9,95
c686,84,52
c687,2,100
c688,23,23
c689,54,83
c690,11,30
c691,13,54
c692,29,12
c693,35,66
c694,2,84
c695,14,43
c696,18,87
c697,11,47
c698,37,52
c699,61,61
c700,3,36
c701,19,29
c702,43,73
c703,13,13
c704,29,7
c705,21,60
c706,6,26
c707,9,47
c708,7,28
c709,8,55
c710,8,37
c711,21,45
c712,2,93
c713,32,98
c714,17,63
c715,20,98
c716,22,33
c717,53,48
c718,27,27
c719,16,16
c720,17,73
c721,40,13
c722,8,95
c723,6,52
c724,35,50
c725,19,60
c726,38,35
c727,46,100
c728,33,29
c729,14,71
c730,24,87
c731,27,23
c732,17,86
c733,24,15
c734,1,55
c735,13,13
c736,16,37
c737,8,8
c738,3,43
c739,4,73
c740,1,18
c741,55,14
c742,22,26
c743,24,46
c744,12,74
c745,27,36
c746,5,58
c747,11,72
c748,9,66
c749,26,92
c750,18,4
c751,1,67
c752,27,70
c753,11,62
c754,22,82
c755,16,87
c756,18,18
c757,51,31
c758,40,100
c759,21,96
c760,17,76
c761,2,2
c762,10,74
c763,8,46
c764,7,73
c765,5,66
c766,5,50
c767,29,31
c768,1,83
c769,12,55
c770,1,68
c771,4,9
c772,8,52
c773,4,4
c774,23,21
c775,32,44
c776,6,58
c777,21,14
c778,30,92
c779,18,64
c780,3,64
c781,19,33
c782,24,24
c783,8,40
c784,19,79
c785,27,18
c786,2,65
c787,22,37
c788,11,89
c789,6,34
c790,13,69
c791,45,25
c792,9,9
c793,5,94
c794,5,41
c795,9,50
c796,5,49
c797,48,58
c798,4,79
c799,49,82
c800,3,89
c801,87,29
c802,22,73
c803,21,48
c804,2,71
c805,10,21
c806,21,15
c807,3,84
c808,58,85
c809,18,18
c810,5,10
c811,35,46
c812,7,24
c813,8,13
c814,21,90
c815,4,99
c816,2,88
c817,11,45
c818,42,60
c819,16,6
c820,38,70
c821,40,55
c822,31,75
c823,2,2
c824,13,73
c825,3,48
c826,10,10
c827,4,83
c828,3,3
c829,30,1
c830,26,23
c831,53,64
c832,18,77
c833,6,59
c834,10,69
c835,1,58
c836,21,66
c837,12,35
c838,40,63
c839,13,13
c840,20,1
c841,2,2
c842,6,62
c843,8,11
c844,4,53
c845,28,18
c846,9,70
c847,1,47
c848,5,90
c849,17,60
c850,8,8
c851,5,76
c852,21,21
c853,12,52
c854,9,68
c855,3,37
c856,18,49
c857,59,83
c858,1,1
c859,5,8
c860,5,40
c861,3,8
c862,13,5
c863,6,6
c864,7,99
c865,49,51
c866,63,63
c867,10,98
c868,32,56
c869,2,42
c870,6,67
c871,49,39
c872,11,37
c873,11,89
c874,5,77
c875,30,30
c876,5,5
c877,59,94
c878,6,1
c879,100,74
c880,8,33
c881,2,40
c882,33,97
c883,16,45
c884,32,19
c885,6,51
c886,3,13
c887,23,23
c888,31,29
c889,85,43
c890,7,89
c891,14,45
c892,7,5
c893,24,9
c894,28,48
c895,22,39
c896,14,14
c897,50,21
c898,3,60
c899,8,8
c900,27,77
c901,3,61
c902,6,6
c903,22,39
c904,8,98
c905,14,76
c906,8,54
c907,3,3
c908,26,42
c909,11,36
c910,6,76
c911,6,72
c912,34,29
c913,21,21
c914,3,45
c915,16,54
c916,1,7
c917,14,89
c918,21,79
c919,12,51
c920,3,27
c921,82,97
c922,12,23
c923,28,41
c924,1,67
c925,2,20
c926,12,12
c927,13,94
c928,5,57
c929,6,68
c930,16,87
c931,6,79
c932,30,28
c933,34,6
c934,3,3
c935,14,91
c936,12,12
c937,5,88
c938,10,10
c939,10,92
c940,100,96
c941,47,34
c942,1,31
c943,6,6
c944,34,62
c945,5,88
c946,3,61
c947,19,73
c948,87,87
c949,3,3
c950,15,6
c951,64,64
c952,2,2
c953,2,13
c954,33,46
c955,34,92
c956,2,40
c957,3,59
c958,15,45
c959,5,17
c960,50,32
c961,21,33
c962,61,37
c963,14,96
c964,17,15
c965,7,65
c966,69,85
c967,20,20
c968,2,12
c969,1,46
c970,32,40
c971,6,6
c972,2,26
c973,11,65
c974,20,20
c975,8,8
c976,67,27
c977,9,19
c978,5,19
c979,39,39
c980,2,67
c981,71,81
c982,4,40
c983,2,1
c984,25,31
c985,30,54
c986,9,83
c987,6,35
c988,5,27
c989,22,76
c990,6,22
c991,9,20
c992,12,32
c993,7,14
c994,31,31
c995,26,82
c996,7,24
c997,17,81
c998,18,38
c999,6,65
c1000,3,84
c1001,25,57
c1002,1,78
c1003,6,87
c1004,54,33
c1005,27,23
c1006,18,18
c1007,54,40
c1008,60,90
c1009,20,76
c1010,28,77
c1011,7,7
c1012,2,14
c1013,52,7
c1014,1,1
c1015,27,31
c1016,11,79
c1017,7,7
c1018,52,53
c1019,21,73
c1020,1,77
c1021,72,20
c1022,40,99
c1023,2,2
c1024,23,66
c1025,19,39
c1026,23,16
c1027,11,42
c1028,25,64
c1029,54,71
c1030,34,34
c1031,27,93
c1032,23,21
c1033,10,1
c1034,59,81
c1035,21,4
c1036,3,44
c1037,8,8
c1038,13,80
c1039,19,30
c1040,16,12
c1041,6,72
c1042,8,24
c1043,2,2
c1044,43,40
c1045,25,58
c1046,13,62
c1047,33,7
c1048,13,6
c1049,79,65
c1050,13,13
c1051,34,11
c1052,54,100
c1053,4,72
c1054,19,3
c1055,26,4
c1056,1,99
c1057,8,50
c1058,12,77
c1059,16,23
c1060,13,62
c1061,13,59
c1062,2,81
c1063,2,55
c1064,14,14
c1065,2,1
c1066,42,20
c1067,10,89
c1068,2,23
c1069,7,7
c1070,10,10
c1071,24,63
c1072,39,39
c1073,24,25
c1074,36,8
c1075,14,38
c1076,25,84
c1077,9,19
c1078,24,96
c1079,9,33
c1080,3,86
c1081,7,21
c1082,22,32
c1083,14,14
c1084,16,76
c1085,30,96
c1086,30,13
c1087,40,24
c1088,9,68
c1089,61,61
c1090,7,90
c1091,17,41
c1092,36,42
c1093,16,23
c1094,29,41
c1095,12,12
c1096,36,98
c1097,2,17
c1098,6,54
c1099,51,57
c1100,35,64
c1101,10,2
c1102,18,42
c1103,33,71
c1104,6,6
c1105,21,21
c1106,2,55
c1107,45,87
c1108,3,21
c1109,47,62
c1110,25,25
c1111,35,35
c1112,20,100
c1113,4,56
c1114,8,63
c1115,51,89
c1116,11,27
c1117,8,15
c1118,9,58
c1119,5,28
c1120,27,38
c1121,17,72
c1122,8,8
c1123,35,36
c1124,1,46
c1125,2,17
c1126,21,26
c1127,31,73
c1128,22,27
c1129,44,69
c1130,63,88
c1131,18,84
c1132,23,13
c1133,33,33
c1134,8,32
c1135,2,56
c1136,22,28
c1137,41,73
c1138,47,38
c1139,11,3
c1140,61,10
c1141,18,50
c1142,9,10
c1143,6,24
c1144,5,68
c1145,13,13
c1146,12,11
c1147,4,52
c1148,26,26
c1149,39,79
c1150,7,7
c1151,8,13
c1152,3,71
c1153,8,92
c1154,6,91
c1155,10,86
c1156,5,1
c1157,59,50
c1158,35,83
c1159,39,94
c1160,15,43
c1161,17,71
c1162,52,22
c1163,9,29
c1164,18,31
c1165,65,65
c1166,6,57
c1167,24,14
c1168,13,30
c1169,24,78
c1170,4,65
c1171,55,23
c1172,10,45
c1173,29,75
c1174,18,38
c1175,20,87
c1176,20,26
c1177,7,32
c1178,22,83
c1179,7,7
c1180,18,27
c1181,94,86
c1182,53,30
c1183,35,54
c1184,23,23
c1185,44,42
c1186,92,92
c1187,13,63
c1188,35,51
c1189,8,40
c1190,31,82
c1191,3,54
c1192,30,74
c1193,3,28
c1194,4,74
c1195,33,39
c1196,10,68
c1197,22,30
c1198,40,48
c1199,21,31
c1200,3,66
c1201,21,21
c1202,6,40
c1203,14,99
c1204,8,47
c1205,19,19
c1206,6,78
c1207,2,70
c1208,7,4
c1209,57,72
c1210,4,4
c1211,1,88
c1212,9,6
c1213,12,5
c1214,44,96
c1215,61,61
c1216,8,8
c1217,75,28
c1218,14,14
c1219,37,72
c1220,2,30
c1221,7,61
c1222,15,90
c1223,6,83
c1224,27,53
c1225,13,89
c1226,2,94
c1227,2,14
c1228,95,98
c1229,2,31
c1230,1,47
c1231,17,41
c1232,24,91
c1233,16,73
c1234,9,9
c1235,17,10
c1236,4,41
c1237,9,58
c1238,82,82
c1239,33,6
c1240,7,7
c1241,18,43
c1242,28,28
c1243,11,11
c1244,2,28
c1245,54,79
c1246,21,74
c1247,46,20
c1248,11,48
c1249,3,99
c1250,16,16
c1251,35,17
c1252,19,26
c1253,14,83
c1254,14,54
c1255,54,27
c1256,3,17
c1257,9,15
c1258,4,45
c1259,53,10
c1260,10,39
c1261,50,9
c1262,10,50
c1263,20,20
c1264,8,29
c1265,6,29
c1266,4,78
c1267,36,81
c1268,19,19
c1269,16,89
c1270,9,9
c1271,29,34
c1272,38,54
c1273,23,98
c1274,15,55
c1275,2,2
c1276,28,54
c1277,6,79
c1278,21,21
c1279,16,48
c1280,29,88
c1281,10,93
c1282,50,50
c1283,31,17
c1284,13,13
c1285,34,49
c1286,72,84
c1287,27,27
c1288,11,37
c1289,15,88
c1290,11,58
c1291,4,32
c1292,4,79
c1293,1,71
c1294,34,22
c1295,3,3
c1296,24,27
c1297,1,91
c1298,33,33
c1299,1,1
c1300,20,48
c1301,37,15
c1302,13,25
c1303,19,49
c1304,42,82
c1305,53,85
c1306,28,70
c1307,35,13
c1308,1,64
c1309,30,52
c1310,25,25
c1311,2,17
c1312,20,50
c1313,19,60
c1314,23,56
c1315,26,45
c1316,31,82
c1317,13,65
c1318,18,18
c1319,18,23
c1320,13,90
c1321,16,10
c1322,2,87
c1323,78,78
c1324,22,26
c1325,27,49
c1326,17,14
c1327,1,58
c1328,38,40
c1329,36,16
c1330,27,62
c1331,8,27
c1332,32,30
c1333,19,19
c1334,1,38
c1335,3,94
c1336,13,65
c1337,17,78
c1338,3,41
c1339,5,16
c1340,61,23
c1341,20,16
c1342,6,63
c1343,3,4
c1344,11,10
c1345,12,13
c1346,31,43
c1347,5,19
c1348,33,11
c1349,10,21
c1350,8,77
c1351,9,51
c1352,13,4
c1353,26,48
c1354,43,44
c1355,2,79
c1356,1,93
c1357,40,40
c1358,1,64
c1359,29,69
c1360,11,11
c1361,18,33
c1362,29,100
c1363,5,88
c1364,25,33
c1365,4,64
c1366,1,44
c1367,37,4
c1368,10,10
c1369,9,13
c1370,19,89
c1371,20,63
c1372,81,81
c1373,7,7
c1374,5,60
c1375,38,65
c1376,34,34
c1377,19,84
c1378,11,11
c1379,3,22
c1380,85,6
c1381,13,99
c1382,3,84
c1383,12,22
c1384,13,100
c1385,28,26
c1386,75,17
c1387,23,26
c1388,20,20
c1389,6,6
c1390,4,87
c1391,31,68
c1392,18,67
c1393,34,65
c1394,40,38
c1395,64,95
c1396,4,98
c1397,19,32
c1398,6,28
c1399,41,47
c1400,5,17
c1401,1,40
c1402,23,62
c1403,43,43
c1404,8,59
c1405,33,59
c1406,32,32
c1407,93,13
c1408,18,98
c1409,7,10
c1410,19,42
c1411,5,74
c1412,8,9
c1413,40,22
c1414,19,67
c1415,4,94
c1416,19,85
c1417,16,39
c1418,1,32
c1419,6,15
c1420,11,74
c1421,3,3
c1422,1,32
c1423,22,64
c1424,3,1
c1425,3,7
c1426,12,26
c1427,7,35
c1428,24,30
c1429,5,13
c1430,5,17
c1431,14,14
c1432,5,66
c1433,8,75
c1434,50,56
c1435,50,48
c1436,30,79
c1437,2,43
c1438,21,97
c1439,2,86
c1440,25,11
c1441,14,14
c1442,23,23
c1443,26,20
c1444,4,77
c1445,16,80
c1446,24,80
c1447,49,78
c1448,9,32
c1449,3,3
c1450,19,22
c1451,6,6
c1452,20,20
c1453,28,41
c1454,15,51
c1455,3,31
c1456,10,44
c1457,17,17
c1458,6,37
c1459,3,3
c1460,7,3
c1461,39,39
c1462,22,1
c1463,24,24
c1464,20,76
c1465,4,94
c1466,21,54
c1467,29,10
c1468,12,8
c1469,12,92
c1470,4,67
c1471,3,3
c1472,12,76
c1473,4,4
c1474,49,28
c1475,13,93
c1476,7,27
c1477,4,5
c1478,34,91
c1479,24,97
c1480,58,58
c1481,14,83
c1482,20,93
c1483,50,91
c1484,41,85
c1485,12,44
c1486,2,72
c1487,11,11
c1488,21,94
c1489,6,70
c1490,58,36
c1491,5,54
c1492,50,67
c1493,11,88
c1494,5,5
c1495,10,40
c1496,1,1
c1497,11,12
c1498,33,33
c1499,15,34
c1500,10,19
c1501,2,71
c1502,3,3
c1503,53,75
c1504,35,56
c1505,13,13
c1506,1,40
c1507,14,14
c1508,20,100
c1509,22,15
c1510,24,24
c1511,16,43
c1512,18,18
c1513,36,74
c1514,2,2
c1515,11,2
c1516,26,68
c1517,22,87
c1518,9,88
c1519,63,11
c1520,12,88
c1521,3,45
c1522,12,12
c1523,2,26
c1524,7,28
c1525,13,78
c1526,9,9
c1527,16,33
c1528,35,8
c1529,6,58
c1530,8,69
c1531,9,1
c1532,1,10
c1533,58,63
c1534,12,66
c1535,6,78
c1536,18,55
c1537,51,40
c1538,44,3
c1539,6,72
c1540,2,12
c1541,28,42
c1542,21,78
c1543,7,99
c1544,13,46
c1545,10,13
c1546,16,13
c1547,17,57
c1548,3,98
c1549,7,88
c1550,26,66
c1551,25,6
c1552,27,94
c1553,56,54
c1554,43,43
c1555,9,25
c1556,45,95
c1557,25,60
c1558,30,17
c1559,12,72
c1560,10,26
c1561,73,92
c1562,10,29
c1563,8,80
c1564,29,50
c1565,11,1
c1566,1,79
c1567,9,65
c1568,25,62
c1569,8,51
c1570,36,87
c1571,16,7
c1572,3,66
c1573,41,41
c1574,3,3
c1575,7,56
c1576,9,95
c1577,4,72
c1578,19,31
c1579,10,10
c1580,8,8
c1581,8,26
c1582,2,2
c1583,4,28
c1584,16,16
c1585,80,74
c1586,8,89
c1587,15,95
c1588,7,76
c1589,13,19
c1590,58,28
c1591,24,55
c1592,8,8
c1593,74,79
c1594,10,11
c1595,12,5
c1596,8,46
c1597,14,24
c1598,4,26
c1599,34,46
c1600,6,36
c1601,26,11
c1602,1,90
c1603,18,18
c1604,13,85
c1605,43,34
c1606,30,44
c1607,29,13
c1608,7,38
c1609,1,32
c1610,2,86
c1611,8,89
c1612,4,53
c1613,16,35
c1614,30,21
c1615,25,41
c1616,48,83
c1617,59,20
c1618,65,83
c1619,16,52
c1620,3,4
c1621,11,91
c1622,16,18
c1623,34,42
c1624,6,80
c1625,30,76
c1626,5,95
c1627,1,57
c1628,2,70
c1629,12,87
c1630,16,26
c1631,17,68
c1632,10,27
c1633,9,8
c1634,32,48
c1635,26,94
c1636,53,84
c1637,15,15
c1638,25,17
c1639,2,13
c1640,18,46
c1641,30,27
c1642,14,20
c1643,33,15
c1644,64,10
c1645,5,73
c1646,9,9
c1647,12,5
c1648,38,19
c1649,12,60
c1650,7,7
c1651,9,33
c1652,5,77
c1653,41,49
c1654,37,21
c1655,18,18
c1656,11,9
c1657,24,90
c1658,10,5
c1659,2,48
c1660,7,32
c1661,27,21
c1662,2,21
c1663,9,54
c1664,8,8
c1665,11,11
c1666,44,34
c1667,5,16
c1668,8,100
c1669,18,44
c1670,8,26
c1671,63,38
c1672,37,63
c1673,21,21
c1674,10,82
c1675,56,56
c1676,8,39
c1677,5,72
c1678,7,37
c1679,3,71
c1680,17,9
c1681,16,88
c1682,19,77
c1683,35,75
c1684,1,1
c1685,36,47
c1686,13,94
c1687,7,77
c1688,15,30
c1689,27,27
c1690,9,9
c1691,3,19
c1692,3,27
c1693,9,49
c1694,33,33
c1695,34,51
c1696,49,99
c1697,31,5
c1698,4,82
c1699,3,67
c1700,23,37
c1701,23,19
c1702,53,56
c1703,1,25
c1704,24,90
c1705,4,7
c1706,9,7
c1707,10,28
c1708,7,99
c1709,21,47
c1710,4,42
c1711,21,71
c1712,28,54
c1713,4,19
c1714,3,3
c1715,68,68
c1716,2,89
c1717,27,91
c1718,30,69
c1719,15,56
c1720,3,61
c1721,16,57
c1722,9,10
c1723,4,59
c1724,31,30
c1725,1,80
c1726,20,88
c1727,26,34
c1728,49,82
c1729,8,70
c1730,10,55
c1731,9,66
c1732,26,5
c1733,53,53
c1734,18,76
c1735,10,67
c1736,19,90
c1737,58,8
c1738,11,11
c1739,10,90
c1740,5,38
c1741,21,43
c1742,2,79
c1743,3,3
c1744,23,23
c1745,1,44
c1746,26,25
c1747,26,89
c1748,18,16
c1749,4,3
c1750,8,8
c1751,35,25
c1752,48,48
c1753,5,41
c1754,29,100
c1755,3,90
c1756,15,10
c1757,8,33
c1758,9,9
c1759,4,27
c1760,3,24
c1761,11,11
c1762,17,52
c1763,73,54
c1764,35,74
c1765,36,36
c1766,11,27
c1767,41,93
c1768,43,7
c1769,48,35
c1770,28,20
c1771,1,98
c1772,61,61
c1773,18,58
c1774,3,48
c1775,17,34
c1776,14,9
c1777,16,63
c1778,24,56
c1779,20,20
c1780,6,12
c1781,50,50
c1782,10,79
c1783,12,35
c1784,47,56
c1785,24,47
c1786,38,9
c1787,50,82
c1788,13,21
c1789,12,38
c1790,2,17
c1791,1,9
c1792,18,32
c1793,18,97
c1794,13,44
c1795,3,42
c1796,21,48
c1797,74,74
c1798,18,46
c1799,51,70
c1800,10,44
c1801,41,68
c1802,10,55
c1803,32,77
c1804,14,41
c1805,20,43
c1806,20,73
c1807,11,1
c1808,4,78
c1809,3,3
c1810,10,10
c1811,21,66
c1812,15,62
c1813,11,51
c1814,23,78
c1815,32,36
c1816,15,53
c1817,3,9
c1818,28,87
c1819,18,27
c1820,62,86
c1821,86,27
c1822,35,41
c1823,65,65
c1824,21,38
c1825,29,55
c1826,23,60
c1827,7,19
c1828,8,69
c1829,1,54
c1830,6,73
c1831,37,6
c1832,7,15
c1833,3,44
c1834,9,98
c1835,8,52
c1836,10,12
c1837,12,50
c1838,4,94
c1839,59,86
c1840,9,70
c1841,32,5
c1842,25,68
c1843,66,55
c1844,79,32
c1845,13,91
c1846,42,11
c1847,6,26
c1848,66,66
c1849,17,82
c1850,9,86
c1851,15,68
c1852,39,85
c1853,2,24
c1854,30,55
c1855,9,46
c1856,1,41
c1857,10,21
c1858,9,27
c1859,1,51
c1860,11,41
c1861,7,7
c1862,10,13
c1863,8,68
c1864,22,31
c1865,21,76
c1866,51,82
c1867,24,24
c1868,15,65
c1869,2,52
c1870,12,83
c1871,6,6
